program_code,program_name,sub-plan_code,sub-plan_name,complexity_score,total_degrees_awarded,less_than_4,four,four_and_a_half,five,five_and_a_half,six,greater_than_6
STDOBFA,Studio Art,PVI,"Photography, Video and Imaging",44,1,0,1,1,1,1,1,0
PSYCBA,Psychology,-,Not Available,88,586,124,428,469,505,517,531,55
SBEBSSBE,Sustainable Built Environments,DPOSR,Sustainable Buildings,52,25,2,8,11,15,16,19,6
PSYSBS,Psychological Science,-,Not Available,79,142,30,118,122,130,131,135,7
FSHDBS,Family Studies & Human Dev,-,Not Available,48,196,27,150,160,173,183,185,11
SPANBA,Spanish,SPANPORT,Spanish and Portuguese,107,4,1,3,3,3,3,3,1
NUSCBS,Nutritional Sciences,NUTR,Nutrition,203,242,18,158,178,212,217,232,10
BIOLBS,Biology,OB,Organismal Biology,132,41,3,28,34,38,39,39,2
PMPCBS,Public Management & Policy,CJA,Criminal Justice Admin,52,4,0,0,0,0,0,0,4
ASCBS,Animal Sciences,ANIIND,Animal Industry,88,30,1,13,18,21,22,23,7
ARCHBAR,Architecture,-,Not Available,77,9,0,0,0,0,0,1,8
GNSBGS,General Studies,SPS,Sports and Society,44,50,5,31,38,42,45,46,4
POLBA,Political Science,IDMET,Ideas and Methods,45,8,0,5,6,6,6,7,1
CJSBS,Criminal Justice Studies,-,Not Available,45,245,42,194,210,224,229,234,11
ABEMBS,Agribusiness Economics & Mgmt,ABEMECON,Agricultural Economics,84,30,2,12,19,23,23,26,4
PERFBMUS,Performance,COMPOS,Composition,235,5,0,4,4,4,4,4,1
APSBAPS,Applied Science,ADJS,Administration of Justice,42,1,0,0,0,0,0,0,1
EMGBSEMG,Engineering Management,-,Not Available,202,56,2,25,34,50,54,56,0
RELIBA,Religious Studies,-,Not Available,42,8,0,3,3,6,7,8,0
NCSBS,Neuroscience & Cognitive Sci,LCS,Language & Comm Science,94,11,0,7,8,9,9,10,1
NCSBS,Neuroscience & Cognitive Sci,COGN,Cognition,103,98,10,78,85,92,95,96,2
SPANBA,Spanish,HISLIN,Hispanic Linguistics,151,9,1,6,7,7,7,7,2
MISBSBA,Management Information Systems,-,Not Available,121,309,44,268,287,296,298,302,7
AGTEBS,Agricultural Tech Mgmt & Educ,ASM,Agricultural Systems Mgmt,87,4,0,1,2,3,3,3,1
SERBSED,Special Educ & Rehabilitation,RHB,Rehabilitation,43,43,7,41,42,42,42,42,1
NTRSBS,Natural Resources,WATHDM,Watershed Hydrology and Mgmt,62,3,0,0,0,2,2,2,1
ANTHBS,Anthropology,ARS,Archaeological Sciences,48,7,0,3,5,6,6,6,1
NCSBS,Neuroscience & Cognitive Sci,PHILMIND,Philosophy of Mind,94,9,0,6,6,8,9,9,0
GWSBA,Gender & Women's Studies,SQS,Sexualities & Queer Studies,42,1,0,0,0,1,1,1,0
GLSBA,Global Studies,GPEI,Global Political Economy & Ins,44,9,1,7,8,9,9,9,0
PERFBMUS,Performance,EUPHONIUM,Euphonium,178,1,0,1,1,1,1,1,0
MENASBA,Middle East & N African St,-,Not Available,44,4,1,3,3,4,4,4,0
DFSTBSED,Deaf Studies,EI,Educational Interpreting,41,9,1,9,9,9,9,9,0
AGTEBS,Agricultural Tech Mgmt & Educ,LCE,Leadership & Comm Emphasis,74,10,2,7,7,9,9,10,0
NCSBS,Neuroscience & Cognitive Sci,THM,Thematic,94,4,0,4,4,4,4,4,0
GLSTBA,Global Studies,GLCLAF,"Gbl Cultures - Lit, Art,& Film",44,1,0,1,1,1,1,1,0
PERFBMUS,Performance,TUBA,Tuba,178,2,0,2,2,2,2,2,0
NTRSBS,Natural Resources,GCEM,Global Change Ecol & Mgmt,80,2,0,2,2,2,2,2,0
EASBA,East Asian Studies,EACS,East Asian Cultural Studies,41,3,0,2,2,3,3,3,0
AISBA,American Indian Studies,-,Not Available,42,1,1,1,1,1,1,1,0
GLSTBA,Global Studies,GHLTHD,Global Health Development,44,3,0,3,3,3,3,3,0
APSBAPS,Applied Science,REGCM,Regional Commerce,51,1,0,0,0,1,1,1,0
JOURBA,Journalism,DIGITAL,Digital Journalism,80,3,0,3,3,3,3,3,0
