SendInstitution,SendInstitutionCity,SendInstitutionState,SendInstitutionCountry,SendInstitutionOPEID,SendEditionLowYear,SendEditionHighYear,SendCourse1CourseCode,SendCourse1CourseTitle,SendCourse1Units,SendCourse2CourseCode,SendCourse2CourseTitle,SendCourse2Units,SendCourse3CourseCode,SendCourse3CourseTitle,SendCourse3Units,SendCourse4CourseCode,SendCourse4CourseTitle,SendCourse4Units,SendCourse5CourseCode,SendCourse5CourseTitle,SendCourse5Units,SendCourse6CourseCode,SendCourse6CourseTitle,SendCourse6Units,SendCourse7CourseCode,SendCourse7CourseTitle,SendCourse7Units,SendCourse8CourseCode,SendCourse8CourseTitle,SendCourse8Units,SendCourse9CourseCode,SendCourse9CourseTitle,SendCourse9Units,SendCourse10CourseCode,SendCourse10CourseTitle,SendCourse10Units,ReceiveInstitution,ReceiveEditionLowYear,ReceiveEditionHighYear,ReceiveCourse1CourseCode,ReceiveCourse1CourseTitle,ReceiveCourse1Units,ReceiveCourse2CourseCode,ReceiveCourse2CourseTitle,ReceiveCourse2Units,ReceiveCourse3CourseCode,ReceiveCourse3CourseTitle,ReceiveCourse3Units,ReceiveCourse4CourseCode,ReceiveCourse4CourseTitle,ReceiveCourse4Units,ReceiveCourse5CourseCode,ReceiveCourse5CourseTitle,ReceiveCourse5Units,ReceiveCourse6CourseCode,ReceiveCourse6CourseTitle,ReceiveCourse6Units,ReceiveCourse7CourseCode,ReceiveCourse7CourseTitle,ReceiveCourse7Units,ReceiveCourse8CourseCode,ReceiveCourse8CourseTitle,ReceiveCourse8Units,ReceiveCourse9CourseCode,ReceiveCourse9CourseTitle,ReceiveCourse9Units,ReceiveCourse10CourseCode,ReceiveCourse10CourseTitle,ReceiveCourse10Units,ActiveDateBegin,ActiveDateEnd,ContactName,EQCreateDateTime,EQLEditDateTime,HideFlag,CommentsPublic,CommentsPrivate
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,BAS 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/23/22 6:40,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,BAS 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/9/22 8:30,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,BAS 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/9/22 6:05,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,BAS 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/9/22 5:39,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,BAS 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/8/22 6:29,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,BAS 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/7/22 6:22,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,BAS 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/7/22 8:00,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,BAS 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/1/22 6:54,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,BAS 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/1/22 8:12,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,BAS 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/1/22 8:21,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,BAS 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/21/22 6:30,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,BAS 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/22/22 6:36,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,BAS 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/8/22 6:01,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,BAS 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/8/22 5:52,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,BAS 267,Introduction to Business Law,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/10/22 9:01,,No,,
