SendInstitution,SendInstitutionCity,SendInstitutionState,SendInstitutionCountry,SendInstitutionOPEID,SendEditionLowYear,SendEditionHighYear,SendCourse1CourseCode,SendCourse1CourseTitle,SendCourse1Units,SendCourse2CourseCode,SendCourse2CourseTitle,SendCourse2Units,SendCourse3CourseCode,SendCourse3CourseTitle,SendCourse3Units,SendCourse4CourseCode,SendCourse4CourseTitle,SendCourse4Units,SendCourse5CourseCode,SendCourse5CourseTitle,SendCourse5Units,SendCourse6CourseCode,SendCourse6CourseTitle,SendCourse6Units,SendCourse7CourseCode,SendCourse7CourseTitle,SendCourse7Units,SendCourse8CourseCode,SendCourse8CourseTitle,SendCourse8Units,SendCourse9CourseCode,SendCourse9CourseTitle,SendCourse9Units,SendCourse10CourseCode,SendCourse10CourseTitle,SendCourse10Units,ReceiveInstitution,ReceiveEditionLowYear,ReceiveEditionHighYear,ReceiveCourse1CourseCode,ReceiveCourse1CourseTitle,ReceiveCourse1Units,ReceiveCourse2CourseCode,ReceiveCourse2CourseTitle,ReceiveCourse2Units,ReceiveCourse3CourseCode,ReceiveCourse3CourseTitle,ReceiveCourse3Units,ReceiveCourse4CourseCode,ReceiveCourse4CourseTitle,ReceiveCourse4Units,ReceiveCourse5CourseCode,ReceiveCourse5CourseTitle,ReceiveCourse5Units,ReceiveCourse6CourseCode,ReceiveCourse6CourseTitle,ReceiveCourse6Units,ReceiveCourse7CourseCode,ReceiveCourse7CourseTitle,ReceiveCourse7Units,ReceiveCourse8CourseCode,ReceiveCourse8CourseTitle,ReceiveCourse8Units,ReceiveCourse9CourseCode,ReceiveCourse9CourseTitle,ReceiveCourse9Units,ReceiveCourse10CourseCode,ReceiveCourse10CourseTitle,ReceiveCourse10Units,ActiveDateBegin,ActiveDateEnd,ContactName,EQCreateDateTime,EQLEditDateTime,HideFlag,CommentsPublic,CommentsPrivate
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,BAS 201,Customer Service Improvement Skills,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2020,2021,EKU X200,UNIVERSITY PROGRAMS ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,,eCampus *Lauren Edmondson,6/9/21 11:36,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,BAS 287,Supervisory Management,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,MGT X2003,Departmental Elective Credit,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,4/21/22,Zac Lewis,6/2/20 23:49,4/22/22 6:44,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,BIO 135,Basic Anatomy and Physiology with Laboratory,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,BIO 307,Human Anatomy and Physiology I,3,BIO X300,BIOLOGY ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,,Zac Lewis,6/2/20 23:49,5/9/22 11:06,No,GE Science Lab,GESL
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,BIO 148,Introductory Biology I,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,BIO 111,Cell and Molecular Biology,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,8/9/22,Zac Lewis,6/2/20 23:49,8/10/22 7:31,Yes,"GE Natural Science, GE Science Lab","GENS, GESL"
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,BIO 155,Introductory Biology Laboratory,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2017,2018,AST 130,Introductory Astronomy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,8/9/22,Zac Lewis,6/2/20 23:49,8/10/22 6:22,Yes,GE Natural Science,GENS tag applied  //  KCTCS uses BIO 155 designation for two different courses BIO 155 Astrobiology and BIO 155 Introductory Biology Lab.  Default KCTCS BIO 155 to Introductory Biology.
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,CHE 130,Introductory General and Biological Chemistry,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CHE 105,Chemistry for the Health Sciences,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,,Zac Lewis,6/2/20 23:49,10/27/21 6:15,No,GE Natural Science,"GENS, GESL"
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,CHE 145,Introductory General Chemistry Laboratory,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CHE 101L,Introductory Chemistry Lab I,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,,Zac Lewis,6/2/20 23:49,11/7/22 5:27,No,EKU Science Lab,GESL
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,CHE 170,General College Chemistry I,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CHE 111,General Chemistry I,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,,Zac Lewis,6/2/20 23:49,12/2/22 4:41,No,EKU Natural Sciences,GENS
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,CIT 249,Java II,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2016,2017,CIS 250,Business Programming II,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,10/4/22,Zac Lewis,6/2/20 23:49,10/5/22 9:00,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,COM 252,Introduction to Interpersonal Communication,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CMS 200,Interpersonal Communication,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/31/20,8/25/22,Zac Lewis,1/31/20 8:39,8/26/22 5:50,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,CS 115,Introduction to Computer Programming,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2020,2021,CSC 170,Intro to Game Programming,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/1/20,6/23/22,Zac Lewis,12/1/20 6:50,6/24/22 12:39,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,CS 215,"Introduction to Program Design, Abstraction, and Problem Solving",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2020,2021,CSC X2004,Departmental Elective Credit,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/21,,Zac Lewis,6/2/20 23:49,6/1/21 11:01,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,ENG 101,Writing I,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,ENG 101,"Reading, Writing and Rhetoric",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/20/20,7/27/22,Zac Lewis,2/20/20 5:21,7/28/22 5:47,Yes,Duplicate entry: end date and hide,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,ENG 101,Writing I,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,ENG 101,"Reading, Writing and Rhetoric",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,,Zac Lewis,6/2/20 23:49,2/2/23 11:19,No,EKU Written Communication,GEWC
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,FAM 252,Introduction to Family Science,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF 132,Introduction to the Family,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,,Zac Lewis,6/2/20 23:49,9/26/22 9:55,No,EKU Historical Perspective  -or-  EKU Social & Behavioral Science,FAM 252 is applicable towards its institutions GE Social Behavior Science (SB); GESB tag applied.
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,FAM 253,"Human Sexuality: Development, Behavior, and Attitudes",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF 232,Identity and Sexuality,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,,Zac Lewis,6/2/20 23:49,9/26/22 9:59,No,EKU Historical Perspective  -or-  EKU Social & Behavioral Science,FAM 253 is applicable towards its institution's Gen Ed Social Behavior Science; GESB tab applied.
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,FAM 253,"Human Sexuality: Development, Behavior, and Attitudes",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,HEA 375,Family Life Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,,Zac Lewis,6/2/20 23:49,9/26/22 10:03,No,EKU Historical Perspective -or- EKU Social & Behavioral Science,FAM 253 is applicable towards its institution's Gen Ed Social Behavior Science; GESB tab applied.
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,HMS 101,Human Services Survey,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,SWK 210,Introduction to Social Work,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,10/23/22,Zac Lewis,6/2/20 23:49,10/24/22 11:31,Yes,,EKU Social Work Dept request change.
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 101,Orientation to Early Childhood Education,3,IEC 102,Foundations of Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF 203,Philosophical & Historical Foundations of the EC Profession,3,CDF X2003,Departmental Elective Credit,3,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/12/22 8:05,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 101,Orientation to Early Childhood Education,3,IEC 102,Foundations of Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF 203,Philosophical & Historical Foundations of the EC Profession,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/5/20,9/11/22,eCampus *Lauren Edmondson,5/5/20 14:01,9/12/22 8:06,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 102,Foundations of Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CDF X100,CHILD AND FAMILY ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/13/22 5:18,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 120,"Health, Safety and Nutrition",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF X1003,Departmental Elective Credit,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/25/22,Zac Lewis,6/2/20 23:49,9/26/22 11:39,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 130,Early Childhood Development,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF 235,Child Development: Conception- Eight Years,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/12/22 8:16,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 170,Observation and Assessment,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF X2003,Departmental Elective Credit,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/14/22,Zac Lewis,6/2/20 23:49,9/15/22 6:48,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 170,Observation and Assessment,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF X200,CHILD AND FAMILY ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/5/20,9/14/22,eCampus *Lauren Edmondson,5/5/20 14:08,9/15/22 6:47,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 180,Approaches to Early Childhood Education Curriculum,3,IEC 221,Creative Expressions in IECE,3,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF 246,Creative Activities and Materials for Young Children,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/5/20,9/11/22,eCampus *Lauren Edmondson,5/5/20 14:07,9/12/22 8:11,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 180,Approaches to Early Childhood Education Curriculum,3,IEC 221,Creative Expressions in IECE,3,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF 246,Creative Activities and Materials for Young Children,3,CDF X2003,Departmental Elective Credit,3,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/12/22 8:11,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 200,Child Guidance,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF 236,Interaction and Guidance,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/12/22 8:17,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 210,Families and Communities in Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF 132,Introduction to the Family,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/12/22 8:19,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 210,Families and Communities in Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF 132,Introduction to the Family,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/5/20,9/11/22,eCampus *Lauren Edmondson,5/5/20 14:08,9/12/22 8:19,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 216,Literacy and Language in IECE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF X200,CHILD AND FAMILY ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/5/20,9/14/22,eCampus *Lauren Edmondson,5/5/20 14:09,9/15/22 6:49,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 216,Literacy and Language in IECE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF X2003,Departmental Elective Credit,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/14/22,Zac Lewis,6/2/20 23:49,9/15/22 6:48,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 221,Creative Expressions in IECE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CDF X200,CHILD AND FAMILY ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/13/22 6:53,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 230,Business Administration of ECE Programs,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF X2003,Departmental Elective Credit,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/14/22,Zac Lewis,6/2/20 23:49,9/15/22 6:52,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 235,Introduction to Inclusive Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,SED 104,Special Education Introduction,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/14/22,Zac Lewis,6/2/20 23:49,9/15/22 6:54,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 240,Administration of Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF X2003,Departmental Elective Credit,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/14/22,Zac Lewis,6/2/20 23:49,9/15/22 7:10,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 246,Sciences and Math in IECE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF X2003,Departmental Elective Credit,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/12/22 8:20,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 250,School Age Child Care,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF X2003,Departmental Elective Credit,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/14/22,Zac Lewis,6/2/20 23:49,9/15/22 7:16,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 260,Infant and Toddler Education and Programming,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CDF X200,CHILD AND FAMILY ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/14/22,Zac Lewis,6/2/20 23:49,9/15/22 7:18,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 260,Infant and Toddler Education and Programming,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF X200,CHILD AND FAMILY ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/5/20,9/11/22,eCampus *Lauren Edmondson,5/5/20 14:12,9/12/22 9:59,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 291,Instructor Consent Required IECE Practicum/Cooperative Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF 399,Early Childhood Practicum,6-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/5/20,9/11/22,eCampus *Lauren Edmondson,5/5/20 14:13,9/12/22 8:22,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,IEC 291,Instructor Consent Required IECE Practicum/Cooperative Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF 399,Early Childhood Practicum,6-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/12/22 8:22,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,LAS 201,Introduction to Latin America,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,FCC 226,Hispanic Culture and Civilization,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,,Zac Lewis,6/2/20 23:49,12/7/22 6:47,No,EKU Humanities,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,MA 111,Contemporary Mathematics,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,MAT 105,Mathematics with Applications,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,,Zac Lewis,6/2/20 23:49,12/1/22 7:39,No,EKU Quantitative Reasoning,GEQR
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,MAT 126,Technical Algebra and Trigonometry,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,MAT 098,Algebra II,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,4/26/22,Zac Lewis,6/2/20 23:49,4/26/22 11:23,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,MAT 126,Technical Algebra and Trigonometry,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,MAT 098,Algebra II,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/27/20,4/26/22,Zac Lewis,1/27/20 6:20,4/26/22 11:23,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,MAT 126,Technical Algebra and Trigonometry,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,MAT X1003,Departmental Elective Credit,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/12/20,4/26/22,Zac Lewis,8/12/20 10:29,4/26/22 11:24,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,MAT 206,Mathematics For Elementary and Middle School Teachers II,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,MAT 202,Mathematical Concepts for Middle and Elementary School Teachers II,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,10/27/21,Zac Lewis,6/2/20 23:49,10/27/21 12:06,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,MGT 287,Supervisory Management,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,AEM 408,Human Resource Development,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,,Zac Lewis,6/2/20 23:49,4/28/22 6:11,No,,BA / BAS / BE / MGT 287 = same course-same equivalency value of AEM 408.
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,OTA 115,Skills and Interventions I,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2020,2021,OTS X1002,Departmental Elective Credit,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/29/21,,Zac Lewis,7/29/21 12:14,7/29/21 12:14,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,OTA 125,Assistive Technology and Documentation,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2020,2021,OTS X1002,Departmental Elective Credit,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/29/21,,Zac Lewis,7/29/21 12:14,7/29/21 12:14,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,OTA 126,Level IA Fieldwork,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2020,2021,OTS X1001,Departmental Elective Credit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/29/21,,Zac Lewis,7/29/21 12:14,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,OTA 136,Physical Dysfunction,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2020,2021,OTS X1004,Departmental Elective Credit,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/29/21,,Zac Lewis,7/29/21 12:15,7/29/21 12:15,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2019,2020,OTA 146,Occupational Therapy in Mental Health,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2020,2021,OTS X1003,Departmental Elective Credit,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/29/21,,Zac Lewis,7/29/21 12:15,7/29/21 12:15,No,,
